resource_id	name	description	category	organization	tags	availability	phone_num	address	email	website
1	Individual Case Management	Develop plans to get the support you need	Safety & Security	Project Choice	project-choice, case-managment	Monday - Friday (12:00PM - 8:00PM) Saturday (12:00PM - 4:00PM)	714-619-0258	1575 E. 17th Street Santa Ana CA 92705		https://www.orangewood4you.org/sex_trafficking_csec_services/project-choice/
2	Safety Planning	Create a safety plan	Safety & Security	Project Choice	project-choice, safety	Monday - Friday (12:00PM - 8:00PM) Saturday (12:00PM - 4:00PM)	714-619-0258	1575 E. 17th Street Santa Ana CA 92705		https://www.orangewood4you.org/sex_trafficking_csec_services/project-choice/
3	Medical, Mental Health & Substance Use Support	Support for substance abuse and your overall health	Safety & Security	Project Choice	project-choice, health-services	Monday - Friday (12:00PM - 8:00PM) Saturday (12:00PM - 4:00PM)	714-619-0258	1575 E. 17th Street Santa Ana CA 92705		https://www.orangewood4you.org/sex_trafficking_csec_services/project-choice/
4	Housing Referrals	Affordable housing resources	Safety & Security	Project Choice	project-choice, housing	Monday - Friday (12:00PM - 8:00PM) Saturday (12:00PM - 4:00PM)	714-619-0258	1575 E. 17th Street Santa Ana CA 92705		https://www.orangewood4you.org/sex_trafficking_csec_services/project-choice/
5	Education & Employment Assistance	Find education and employment opportunities	Safety & Security	Project Choice	project-choice, consultation, employment, education	Monday - Friday (12:00PM - 8:00PM) Saturday (12:00PM - 4:00PM)	714-619-0258	1575 E. 17th Street Santa Ana CA 92705		https://www.orangewood4you.org/sex_trafficking_csec_services/project-choice/
6	Court Support & Advocacy	Receive support in court	Safety & Security	Project Choice	project-choice, court-advocacy	Monday - Friday (12:00PM - 8:00PM) Saturday (12:00PM - 4:00PM)	714-619-0258	1575 E. 17th Street Santa Ana CA 92705		https://www.orangewood4you.org/sex_trafficking_csec_services/project-choice/
7	Linkages to Community Resources	Community resources in Orange County	Safety & Security	Project Choice	project-choice, community-connection	Monday - Friday (12:00PM - 8:00PM) Saturday (12:00PM - 4:00PM)	714-619-0258	1575 E. 17th Street Santa Ana CA 92705		https://www.orangewood4you.org/sex_trafficking_csec_services/project-choice/
8	Waymakers: victim assistance programs	Victim assistance	Safety & Security	Waymakers	waymakers, victim-services	24/7 Youth Shelter and Victim Assistance	714-714-0780	1221 East Dyer Road, Suite 120 Santa Ana, CA 92705	info@waymakersoc.org	https://waymakersoc.org/
9	Getting Enough Sleep	Importance of sleep	Sleep	CHOC	choc, sleep	24/7 (Online Resource)	714-997-3000	1201 W La Veta Ave  Orange, CA 92868		https://kidshealth.org/CHOC/en/teens/how-much-sleep.html
10	5 Ideas for Better Sleep	5 tips for sleep	Sleep	CHOC	choc, better-sleep	24/7 (Online Resource)	714-997-3000	1201 W La Veta Ave  Orange, CA 92868		https://kidshealth.org/CHOC/en/teens/tips-sleep.html
